,Экология в целом,Климат,Энергия,Воздух,Вода,Отходы и циклическая экономика,Биоразнообразие,Рекультивация земель,Экологичность продукта,!Персонал в целом,Обучение и развитие,Сотрудники. Вовлеченность и мот,Оплата труда,Сотрудники. Здоровье и благопол,Сотрудники. Наем и увольнение,Сотрудники. Корпоративная культ,Сотрудники. Безопасность и охра,Сотрудники. Профсоюз и Коллекти,Потребители. Доступность,Потребители. Сервис и коммуника,Потребители. Персональные данны,Потребители. Здоровье и благопо,"Потребители. Маркетинг, продажи",Потребители. Удовлетворенность,Потребители. Качество и безопас,Потребители. Ценовая политика,Поставщики в целом,Малый и локальный бизнес,Поставщики. Работники,Поставщики. Экология,Закупки и антикоррупция,Заинтересованные стороны,Коренные народы и местные сообщ,Сотрудники. Волонтерство,Социальные инвестиции и благотв,Отчетность и прозрачность,Отношения с инвесторами,!Инновации,!Кибербезопасность,Права человека,Лидерство,Риски,Этика и антикоррупция,Корпоративное управление,Устойчивое развитие
прибыль,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
программа,-52.0,-52.0,-52.0,-40.0,-52.0,-36.0,-52.0,-52.0,-40.0,-52.0,-52.0,-52.0,-52.0,-51.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-36.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-39.0,-52.0,-52.0,-52.0,-52.0,-52.0,-51.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-40.0,-32.0,-48.0
расти,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
рентабельность,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0
рост,-30.0,-30.0,-30.0,-30.0,-26.0,-26.0,-30.0,-30.0,-21.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-26.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-29.0,-30.0,-13.0,-26.0,-29.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-26.0,-30.0,-30.0,-30.0,-30.0,-26.0,-18.0,-30.0
сегмент,-18.0,-18.0,-18.0,-14.0,-14.0,-14.0,-18.0,-18.0,-14.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-13.0,-18.0,-18.0,-17.0,-18.0,-18.0,-18.0,-5.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-14.0,-18.0
скидка,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
снижать,-6.0,-6.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-1.0,-6.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
снижение,-104.0,-104.0,-104.0,-100.0,-55.0,-52.0,-104.0,-104.0,-59.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-103.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-103.0,-104.0,-103.0,-104.0,-104.0,-88.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-88.0,-75.0,-104.0
снизить,-26.0,-26.0,-26.0,-26.0,-14.0,-14.0,-26.0,-26.0,-18.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-21.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-18.0,-22.0,-22.0,-26.0
спрос,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
средний,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0
стабильность,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,3.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
тариф,-14.0,-14.0,-14.0,-10.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-13.0,-14.0,-14.0,-14.0,-14.0,11.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-13.0,-14.0
тарифный,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-4.0
убыток,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
уровень,-82.0,-82.0,-82.0,-66.0,-78.0,-65.0,-82.0,-82.0,-74.0,-82.0,-78.0,-82.0,-82.0,-82.0,-82.0,-74.0,-82.0,-66.0,-82.0,-82.0,-82.0,-74.0,-82.0,-82.0,-82.0,-82.0,-82.0,-82.0,-61.0,-74.0,-82.0,-58.0,-82.0,-81.0,-82.0,-82.0,-81.0,-82.0,-82.0,-82.0,-82.0,-78.0,-74.0,-66.0,-78.0
фиксация,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
фиксирование,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
фиксированный ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
формирование,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-6.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-6.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-5.0,-6.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-6.0,-10.0,-10.0
фудшеринг,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ценностный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
элитный,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
среднерыночный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
услуга,-18.0,-18.0,-18.0,-14.0,-18.0,-18.0,-18.0,-18.0,-14.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-9.0,-18.0,-17.0,-18.0,-18.0,-18.0,-18.0,-5.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-17.0,-18.0,-18.0,-10.0,-18.0,-18.0
дискриминация,-12.0,-12.0,-11.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-11.0,-12.0,-11.0,-12.0,-12.0,-12.0,-12.0,-11.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-11.0,5.0,-12.0,-12.0,-12.0,-11.0,-12.0,-12.0,-12.0,-11.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-4.0
ценовой дискриминация,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
справедливо,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
справедливость,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0
справедливый,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-5.0,2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.0,-6.0,-6.0,-6.0
этика,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-29.0,-30.0,-30.0,-29.0,-29.0,-30.0,-30.0,-30.0,-26.0,-30.0,-30.0,-30.0,-30.0,-29.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-29.0,-22.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-29.0,-30.0,-30.0,-30.0,-30.0,-30.0,-26.0,-30.0,15.0
этично,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
этичный ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
поставщик,-18.0,-18.0,-18.0,-18.0,-13.0,-18.0,-17.0,-17.0,-18.0,-18.0,-14.0,-18.0,-17.0,-18.0,-18.0,-18.0,-18.0,-18.0,-17.0,-17.0,-17.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-10.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-14.0,-10.0,-14.0,-14.0
антикоррупционный,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,9.0
взаимовыгодный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
выбор,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-4.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,0.0,-8.0
доверие,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-1.0,-9.0,-10.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-10.0,-6.0,-6.0,-10.0,-9.0,-10.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-6.0
долгосрочный,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-5.0,-14.0,-14.0,-13.0,-14.0,-14.0,-14.0,-6.0,-14.0,-10.0,-13.0,-14.0,-13.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-10.0,-10.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-13.0,-14.0,-14.0,-14.0,-14.0,-14.0
закупка,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.0,-2.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-6.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-2.0,-10.0
закупочный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
кодекс,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-28.0,-35.0,-36.0,-36.0,-36.0,-32.0,-36.0,-36.0,-35.0,-36.0,-36.0,-36.0,-36.0,-36.0,-35.0,-36.0,-36.0,-36.0,-36.0,-19.0,-36.0,-32.0,-36.0,-36.0,-36.0,-36.0,-35.0,-36.0,-36.0,-36.0,-36.0,-36.0,-32.0,-36.0,1.0
надёжный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
обеспечение,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-42.0,-46.0,-42.0,-46.0,-46.0,-46.0,-46.0,-38.0,-46.0,-46.0,-45.0,-46.0,-46.0,-38.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-42.0,-30.0,-46.0,-26.0,-45.0,-46.0,-46.0,-46.0,-46.0,-46.0,-45.0,-46.0,-46.0,-42.0,-38.0,-42.0,-34.0
отбор,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-3.0,-8.0,-8.0,-8.0,0.0,-8.0,-8.0,-8.0
ответственный,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-4.0,-7.0,-8.0,-7.0,-8.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0
отношение,-48.0,-48.0,-47.0,-44.0,-40.0,-44.0,-48.0,-48.0,-48.0,-48.0,-44.0,-48.0,-48.0,-48.0,-48.0,-43.0,-48.0,-40.0,-47.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-44.0,-20.0,-48.0,-40.0,-48.0,-48.0,-48.0,-48.0,-48.0,-47.0,-47.0,-48.0,-48.0,-44.0,-44.0,-48.0,-32.0
политика,-54.0,-54.0,-54.0,-50.0,-54.0,-54.0,-54.0,-53.0,-50.0,-54.0,-50.0,-54.0,-54.0,-53.0,-54.0,-50.0,-54.0,-50.0,-53.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-53.0,-21.0,-54.0,-50.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-25.0,-46.0,-38.0
прозрачность,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-2.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-1.0,-5.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0
работа,-112.0,-112.0,-111.0,-88.0,-96.0,-92.0,-111.0,-112.0,-88.0,-112.0,-96.0,-112.0,-112.0,-112.0,-112.0,-100.0,-112.0,-112.0,-111.0,-112.0,-112.0,-104.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-104.0,-100.0,-112.0,-92.0,-111.0,-112.0,-111.0,-112.0,-112.0,-108.0,-112.0,-112.0,-112.0,-112.0,-100.0,-91.0,-84.0
работать,-14.0,-14.0,-14.0,-14.0,-6.0,-10.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-10.0,-14.0,-14.0,-13.0,-14.0,-14.0,-10.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-6.0,-14.0
риск,-112.0,-111.0,-112.0,-96.0,-96.0,-112.0,-112.0,-112.0,-87.0,-112.0,-100.0,-112.0,-112.0,-112.0,-112.0,-108.0,-112.0,-111.0,-111.0,-112.0,-112.0,-112.0,-112.0,-111.0,-112.0,-112.0,-112.0,-112.0,-112.0,-91.0,-112.0,-23.0,-111.0,-112.0,-112.0,-112.0,-112.0,-108.0,-112.0,-112.0,-111.0,-112.0,-80.0,-112.0,-104.0
следить,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
соблюдение,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,7.0,-58.0,-54.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-54.0,-42.0,-58.0,-30.0
сотрудничать,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
сотрудничество,-8.0,-8.0,-8.0,0.0,-8.0,-8.0,-8.0,-7.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0
стратегия,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-11.0,-24.0,-16.0,-24.0,-24.0,-24.0,-24.0,-20.0,-24.0,-24.0,-23.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-19.0,-20.0,-24.0,-16.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-23.0,-23.0,-24.0,-16.0,-24.0,-24.0
субподрядчик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
тщательный,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
устойчивое развитие,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
цепочка поставка,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,0.0,-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
